device_id,user_id,device_type,os,device_city
D300149,U104475,iPhone,Windows 10,Mumbai
D300150,U102040,Tablet,iOS 15,Ahmedabad
D300151,U100413,Android Phone,iOS 14,Mumbai
D300152,U101612,iPhone,iOS 15,Chennai
D300153,U104369,iPhone,Android 11,Mumbai
D300154,U104042,Android Phone,Android 11,Pune
D300155,U103642,Android Phone,Windows 11,Mumbai
D300156,U101993,Tablet,Windows 10,Pune
D300157,U103878,Android Phone,MacOS 12,Lucknow
D300158,U103551,iPhone,MacOS 12,Ahmedabad
D300159,U103959,iPhone,iOS 12,Pune
D300160,U102788,Mac,iOS 13,Lucknow
D300161,U102536,iPhone,MacOS 10.15,Jaipur
D300162,U104833,Android Phone,Android 9,Ahmedabad
D300163,U104734,Android Phone,MacOS 10.15,Hyderabad
D300164,U102680,iPhone,Android 11,Chennai
D300165,U101001,Android Phone,Android 12,Pune
D300166,U102044,iPhone,iOS 13,Mumbai
D300167,U102524,Android Phone,Windows 10,Jaipur
D300168,U103385,Android Phone,iOS 12,Jaipur
D300169,U101592,Tablet,MacOS 12,Bangalore
D300170,U100227,Mac,Windows 11,Ahmedabad
D300171,U104112,iPhone,Windows 10,Pune
D300172,U104745,Android Phone,Windows 11,Jaipur
D300173,U100413,Tablet,Android 9,Jaipur
D300174,U101592,iPhone,Windows 11,Ahmedabad
D300175,U102168,Tablet,iOS 15,Lucknow
D300176,U103802,Android Phone,Android 11,Chennai
D300177,U103867,Android Phone,Windows 11,Kolkata
D300178,U101716,iPhone,Android 10,Mumbai
D300179,U101561,Mac,iOS 15,Jaipur
D300180,U102025,Android Phone,iOS 14,Bangalore
D300181,U101202,Android Phone,Android 9,Hyderabad
D300182,U102182,iPhone,iOS 12,Mumbai
D300183,U101312,Tablet,Android 10,Bangalore
D300184,U100301,iPhone,MacOS 12,Pune
D300185,U103567,Mac,Windows 11,Bangalore
D300186,U103935,iPhone,MacOS 12,Hyderabad
D300187,U101433,Windows PC,iOS 13,Kolkata
D300188,U102004,iPhone,Android 12,Pune
D300189,U102013,Android Phone,MacOS 12,Bangalore
D300190,U100110,iPhone,Android 12,Kolkata
D300191,U102728,iPhone,iOS 12,Delhi
D300192,U102292,Android Phone,Android 10,Hyderabad
D300193,U104703,Android Phone,Windows 11,Mumbai
D300194,U101858,iPhone,Android 10,Ahmedabad
D300195,U103971,Windows PC,Android 9,Jaipur
D300196,U101953,Android Phone,Windows 11,Kolkata
D300197,U100926,Mac,MacOS 10.15,Jaipur
D300198,U101743,Android Phone,MacOS 10.15,Chennai
D300199,U104415,Android Phone,MacOS 10.15,Jaipur
D300200,U101281,Android Phone,Android 10,Hyderabad
D300201,U104223,Android Phone,iOS 12,Hyderabad
D300202,U103327,Android Phone,Windows 11,Kolkata
D300203,U103726,iPhone,Android 12,Lucknow
D300204,U103762,iPhone,Windows 11,Ahmedabad
D300205,U102584,iPhone,MacOS 10.15,Kolkata
D300206,U103009,Mac,MacOS 12,Ahmedabad
D300207,U100349,Mac,Windows 11,Kolkata
D300208,U103495,Android Phone,Windows 11,Jaipur
D300209,U103557,Android Phone,iOS 15,Kolkata
D300210,U100518,Android Phone,Android 9,Jaipur
D300211,U102591,iPhone,iOS 13,Bangalore
D300212,U102544,Android Phone,MacOS 12,Hyderabad
D300213,U101548,iPhone,MacOS 10.15,Pune
D300214,U100330,iPhone,Android 11,Hyderabad
D300215,U100049,iPhone,Windows 10,Kolkata
D300216,U101042,Android Phone,Android 12,Delhi
D300217,U101155,Android Phone,iOS 13,Lucknow
D300218,U101059,Android Phone,iOS 15,Bangalore
D300219,U103028,Windows PC,iOS 13,Mumbai
D300220,U102105,iPhone,iOS 15,Jaipur
D300221,U100561,iPhone,Android 10,Delhi
D300222,U100419,iPhone,Android 12,Ahmedabad
D300223,U103277,iPhone,Windows 11,Chennai
D300224,U104672,Android Phone,iOS 15,Ahmedabad
D300225,U104098,Android Phone,MacOS 10.15,Bangalore
D300226,U103788,Android Phone,MacOS 12,Ahmedabad
D300227,U101590,Android Phone,iOS 12,Lucknow
D300228,U103519,Android Phone,Android 12,Hyderabad
D300229,U100409,iPhone,Android 12,Hyderabad
D300230,U100856,Android Phone,iOS 14,Pune
D300231,U100698,Android Phone,Android 12,Chennai
D300232,U100918,Android Phone,iOS 12,Hyderabad
D300233,U101789,Android Phone,Android 11,Pune
D300234,U100218,Android Phone,iOS 12,Delhi
D300235,U104067,Android Phone,MacOS 12,Kolkata
D300236,U103575,Android Phone,iOS 13,Hyderabad
D300237,U103171,Tablet,Windows 11,Bangalore
D300238,U100877,Android Phone,iOS 13,Kolkata
D300239,U104339,Android Phone,iOS 13,Chennai
D300240,U100031,Android Phone,iOS 15,Hyderabad
D300241,U104972,Android Phone,Android 10,Bangalore
D300242,U103633,iPhone,iOS 12,Jaipur
D300243,U101012,Android Phone,Android 10,Pune
D300244,U100983,Mac,Android 11,Pune
D300245,U103474,Mac,Windows 10,Jaipur
D300246,U104040,iPhone,Android 11,Delhi
D300247,U102332,Android Phone,Android 11,Bangalore
D300248,U100300,Android Phone,iOS 14,Mumbai
D300249,U102467,Android Phone,iOS 12,Pune
D300250,U102397,iPhone,Android 10,Chennai
D300251,U101627,Android Phone,MacOS 12,Ahmedabad
D300252,U104514,iPhone,MacOS 12,Lucknow
D300253,U101712,Android Phone,iOS 14,Chennai
D300254,U101217,Android Phone,iOS 14,Chennai
D300255,U103381,Android Phone,Windows 11,Kolkata
D300256,U103091,Android Phone,MacOS 12,Kolkata
D300257,U103104,iPhone,Android 10,Chennai
D300258,U102520,iPhone,Android 10,Chennai
D300259,U101592,Android Phone,Android 12,Chennai
D300260,U101288,Android Phone,Android 12,Kolkata
D300261,U100592,Windows PC,MacOS 10.15,Kolkata
D300262,U100928,Android Phone,iOS 14,Kolkata
D300263,U102891,iPhone,Windows 11,Bangalore
D300264,U102030,Android Phone,Windows 10,Pune
D300265,U103696,iPhone,Windows 10,Kolkata
D300266,U104021,iPhone,MacOS 12,Bangalore
D300267,U102793,Android Phone,iOS 15,Ahmedabad
D300268,U100523,iPhone,Windows 11,Jaipur
D300269,U100018,iPhone,Android 12,Chennai
D300270,U101142,Android Phone,Android 12,Hyderabad
D300271,U101411,iPhone,iOS 15,Lucknow
D300272,U100368,Android Phone,MacOS 10.15,Chennai
D300273,U103892,Android Phone,Android 9,Bangalore
D300274,U101835,Windows PC,iOS 14,Chennai
D300275,U103712,Windows PC,Android 11,Kolkata
D300276,U101044,Android Phone,MacOS 10.15,Kolkata
D300277,U100052,iPhone,iOS 14,Pune
D300278,U100684,Android Phone,Android 9,Bangalore
D300279,U102351,iPhone,Android 9,Hyderabad
D300280,U102398,Android Phone,iOS 15,Mumbai
D300281,U102186,iPhone,Android 11,Lucknow
D300282,U104797,Android Phone,Android 9,Bangalore
D300283,U103261,Android Phone,Android 10,Chennai
D300284,U103659,Windows PC,Android 10,Mumbai
D300285,U100624,Android Phone,iOS 12,Chennai
D300286,U102327,Android Phone,Windows 10,Lucknow
D300287,U103107,Android Phone,MacOS 10.15,Hyderabad
D300288,U102923,iPhone,iOS 14,Pune
D300289,U104734,Android Phone,MacOS 12,Hyderabad
D300290,U102378,iPhone,Windows 11,Chennai
D300291,U101858,Android Phone,Android 10,Ahmedabad
D300292,U104721,iPhone,Windows 10,Chennai
D300293,U101686,Mac,Android 11,Ahmedabad
D300294,U102851,Android Phone,MacOS 12,Lucknow
D300295,U100141,iPhone,MacOS 10.15,Delhi
D300296,U100827,Android Phone,Android 9,Mumbai
D300297,U100286,Android Phone,Android 11,Ahmedabad
D300298,U102089,iPhone,iOS 13,Mumbai
D300299,U104657,Mac,Windows 10,Ahmedabad
D300300,U100356,Windows PC,iOS 14,Bangalore
D300301,U104877,Mac,Android 10,Hyderabad
D300302,U104344,Android Phone,iOS 15,Pune
D300303,U100028,iPhone,iOS 15,Chennai
D300304,U100077,Android Phone,MacOS 12,Jaipur
D300305,U104503,Tablet,Android 12,Lucknow
D300306,U102926,iPhone,Android 9,Bangalore
D300307,U100869,Android Phone,Windows 10,Ahmedabad
D300308,U104769,Windows PC,Windows 10,Pune
D300309,U102806,iPhone,iOS 14,Bangalore
D300310,U103176,Mac,Windows 10,Jaipur
D300311,U103390,iPhone,Android 11,Chennai
D300312,U101008,Windows PC,Android 10,Bangalore
D300313,U101795,iPhone,iOS 12,Ahmedabad
D300314,U100643,iPhone,MacOS 10.15,Mumbai
D300315,U102644,iPhone,iOS 14,Lucknow
D300316,U104936,Android Phone,iOS 15,Chennai
D300317,U103137,Android Phone,MacOS 12,Kolkata
D300318,U103459,Tablet,Android 12,Pune
D300319,U100969,Mac,iOS 13,Jaipur
D300320,U102709,Mac,Windows 10,Ahmedabad
D300321,U104971,Android Phone,Android 10,Chennai
D300322,U100440,Android Phone,iOS 12,Ahmedabad
D300323,U101019,Mac,iOS 14,Chennai
D300324,U103599,Android Phone,Android 12,Hyderabad
D300325,U100051,Android Phone,Android 11,Pune
D300326,U101032,Android Phone,iOS 13,Hyderabad
D300327,U104721,Windows PC,MacOS 10.15,Delhi
D300328,U100095,iPhone,iOS 12,Delhi
D300329,U102145,Android Phone,MacOS 10.15,Mumbai
D300330,U101649,iPhone,Windows 10,Delhi
D300331,U101993,Android Phone,Android 10,Ahmedabad
D300332,U101290,iPhone,MacOS 10.15,Mumbai
D300333,U101378,iPhone,iOS 15,Bangalore
D300334,U103803,iPhone,iOS 14,Chennai
D300335,U100129,Android Phone,Windows 10,Mumbai
D300336,U100647,Android Phone,Android 9,Jaipur
D300337,U101322,Android Phone,Android 12,Delhi
D300338,U104132,Mac,Windows 11,Mumbai
D300339,U101966,Android Phone,iOS 15,Bangalore
D300340,U100174,Android Phone,iOS 12,Delhi
D300341,U102601,Android Phone,iOS 13,Bangalore
D300342,U103136,Tablet,iOS 15,Mumbai
D300343,U102288,iPhone,iOS 13,Chennai
D300344,U100443,Android Phone,iOS 13,Mumbai
D300345,U104395,iPhone,iOS 14,Lucknow
D300346,U104290,Android Phone,Android 12,Ahmedabad
D300347,U104556,iPhone,iOS 14,Pune
D300348,U104819,Tablet,Windows 10,Hyderabad
D300349,U101585,iPhone,Windows 10,Pune
D300350,U102108,Windows PC,iOS 15,Lucknow
D300351,U104797,iPhone,iOS 13,Mumbai
D300352,U102248,Android Phone,iOS 15,Hyderabad
D300353,U104324,iPhone,Windows 10,Mumbai
D300354,U103238,iPhone,Android 12,Kolkata
D300355,U104638,Android Phone,iOS 13,Jaipur
D300356,U100052,iPhone,Windows 10,Pune
D300357,U103531,Android Phone,iOS 15,Pune
D300358,U104004,Android Phone,iOS 13,Delhi
D300359,U100991,Mac,Android 12,Jaipur
D300360,U103677,Android Phone,MacOS 10.15,Ahmedabad
D300361,U100976,Windows PC,iOS 14,Chennai
D300362,U104524,Android Phone,iOS 14,Chennai
D300363,U104543,iPhone,iOS 13,Hyderabad
D300364,U100018,Mac,Windows 11,Ahmedabad
D300365,U102535,iPhone,Android 12,Hyderabad
D300366,U101912,Windows PC,MacOS 12,Jaipur
D300367,U104452,Android Phone,Android 9,Bangalore
D300368,U101601,Android Phone,Android 9,Pune
D300369,U103602,iPhone,iOS 14,Jaipur
D300370,U100583,iPhone,MacOS 10.15,Ahmedabad
D300371,U101062,iPhone,Android 9,Chennai
D300372,U104926,iPhone,Windows 10,Kolkata
D300373,U101923,Android Phone,iOS 12,Kolkata
D300374,U103829,Android Phone,Android 9,Chennai
D300375,U104839,Mac,iOS 12,Mumbai
D300376,U104826,iPhone,iOS 15,Mumbai
D300377,U100097,iPhone,iOS 15,Pune
D300378,U101163,iPhone,MacOS 10.15,Bangalore
D300379,U103572,Mac,MacOS 12,Ahmedabad
D300380,U104633,Windows PC,Android 9,Ahmedabad
D300381,U104893,Android Phone,MacOS 10.15,Kolkata
D300382,U103601,Mac,Android 9,Chennai
D300383,U100520,Android Phone,MacOS 12,Lucknow
D300384,U103712,Android Phone,Windows 11,Delhi
D300385,U101359,Windows PC,MacOS 12,Bangalore
D300386,U104043,Android Phone,Android 9,Pune
D300387,U102735,Android Phone,Android 9,Jaipur
D300388,U100919,iPhone,MacOS 12,Kolkata
D300389,U104218,Tablet,Android 12,Ahmedabad
D300390,U104944,Android Phone,iOS 12,Bangalore
D300391,U102532,iPhone,Android 12,Lucknow
D300392,U104062,iPhone,Android 10,Hyderabad
D300393,U100297,Android Phone,Android 9,Ahmedabad
D300394,U101355,iPhone,Android 10,Mumbai
D300395,U100635,iPhone,MacOS 10.15,Kolkata
D300396,U101419,iPhone,Android 9,Ahmedabad
D300397,U101879,iPhone,MacOS 10.15,Kolkata
D300398,U102156,Tablet,Android 11,Lucknow
D300399,U101612,Windows PC,iOS 15,Jaipur
D300400,U102723,Android Phone,Android 12,Mumbai
D300401,U101098,iPhone,MacOS 10.15,Jaipur
D300402,U101738,iPhone,Android 9,Chennai
D300403,U104200,Android Phone,Windows 10,Hyderabad
D300404,U102811,iPhone,MacOS 12,Kolkata
D300405,U100134,iPhone,iOS 13,Ahmedabad
D300406,U101641,Android Phone,iOS 13,Kolkata
D300407,U104146,Android Phone,Android 10,Kolkata
D300408,U100900,iPhone,MacOS 10.15,Hyderabad
D300409,U104608,Android Phone,MacOS 12,Bangalore
D300410,U101479,Windows PC,iOS 13,Kolkata
D300411,U103150,Android Phone,Windows 10,Delhi
D300412,U102375,iPhone,Windows 11,Delhi
D300413,U103126,iPhone,iOS 12,Pune
D300414,U103986,Android Phone,Android 9,Bangalore
D300415,U100745,iPhone,Android 10,Pune
D300416,U101761,Android Phone,MacOS 10.15,Ahmedabad
D300417,U102841,Android Phone,Windows 11,Pune
D300418,U101302,iPhone,Android 10,Kolkata
D300419,U101875,Android Phone,Windows 11,Hyderabad
D300420,U104429,Windows PC,MacOS 10.15,Ahmedabad
D300421,U101145,iPhone,iOS 14,Chennai
D300422,U100948,Android Phone,iOS 13,Kolkata
D300423,U102916,Android Phone,MacOS 12,Bangalore
D300424,U100498,Windows PC,MacOS 10.15,Bangalore
D300425,U100005,Android Phone,iOS 12,Delhi
D300426,U104348,iPhone,iOS 13,Delhi
D300427,U101382,Android Phone,MacOS 12,Mumbai
D300428,U100602,Mac,MacOS 12,Ahmedabad
D300429,U103280,Android Phone,iOS 15,Pune
D300430,U102404,Android Phone,iOS 15,Delhi
D300431,U102275,iPhone,Windows 10,Ahmedabad
D300432,U102191,Android Phone,Android 12,Ahmedabad
D300433,U100728,iPhone,MacOS 12,Lucknow
D300434,U104292,Android Phone,Android 12,Lucknow
D300435,U100006,Android Phone,Windows 11,Delhi
D300436,U102415,Android Phone,Windows 11,Hyderabad
D300437,U101352,iPhone,Android 12,Jaipur
D300438,U103208,Mac,Windows 11,Bangalore
D300439,U102745,Android Phone,MacOS 10.15,Hyderabad
D300440,U101924,Windows PC,iOS 13,Delhi
D300441,U102672,Windows PC,iOS 14,Chennai
D300442,U101134,Android Phone,iOS 14,Lucknow
D300443,U100655,Android Phone,Android 9,Ahmedabad
D300444,U104526,Android Phone,iOS 14,Bangalore
D300445,U103068,Android Phone,Windows 10,Lucknow
D300446,U103269,iPhone,iOS 14,Bangalore
D300447,U104994,iPhone,iOS 13,Chennai
D300448,U104520,Android Phone,iOS 14,Kolkata
D300449,U102924,iPhone,iOS 14,Pune
D300450,U103961,Android Phone,MacOS 12,Bangalore
D300451,U102638,Windows PC,iOS 12,Bangalore
D300452,U101189,iPhone,Android 11,Pune
D300453,U103113,Android Phone,Android 9,Bangalore
D300454,U104565,iPhone,MacOS 10.15,Mumbai
D300455,U104398,Android Phone,Android 11,Mumbai
D300456,U102525,Tablet,iOS 13,Chennai
D300457,U104729,Android Phone,Windows 11,Delhi
D300458,U100987,Mac,Android 11,Delhi
D300459,U100205,Tablet,Android 11,Ahmedabad
D300460,U102016,iPhone,iOS 15,Hyderabad
D300461,U101024,iPhone,iOS 15,Mumbai
D300462,U104788,iPhone,Android 11,Bangalore
D300463,U100578,Android Phone,iOS 14,Pune
D300464,U102673,Mac,Windows 10,Jaipur
D300465,U103861,Android Phone,Android 11,Jaipur
D300466,U100554,Mac,iOS 13,Bangalore
D300467,U100227,iPhone,Android 12,Jaipur
D300468,U102767,Android Phone,MacOS 12,Kolkata
D300469,U104513,Android Phone,iOS 12,Bangalore
D300470,U100081,Android Phone,MacOS 10.15,Hyderabad
D300471,U100102,Android Phone,MacOS 10.15,Mumbai
D300472,U104627,iPhone,Android 11,Kolkata
D300473,U103012,Android Phone,MacOS 12,Kolkata
D300474,U103506,Tablet,Android 9,Hyderabad
D300475,U101377,Android Phone,iOS 12,Mumbai
D300476,U101561,Android Phone,Android 10,Delhi
D300477,U102352,Android Phone,Android 9,Chennai
D300478,U101070,Android Phone,iOS 14,Lucknow
D300479,U102209,iPhone,iOS 15,Hyderabad
D300480,U104769,Android Phone,iOS 14,Hyderabad
D300481,U103744,iPhone,iOS 13,Pune
D300482,U104345,iPhone,Windows 11,Hyderabad
D300483,U102483,Android Phone,iOS 13,Bangalore
D300484,U103937,Android Phone,iOS 14,Lucknow
D300485,U102106,Android Phone,iOS 13,Bangalore
D300486,U103087,Android Phone,Android 11,Pune
D300487,U103651,iPhone,iOS 15,Jaipur
D300488,U104124,Android Phone,Windows 11,Pune
D300489,U104629,Android Phone,Android 12,Lucknow
D300490,U100527,iPhone,iOS 13,Mumbai
D300491,U103969,Android Phone,MacOS 10.15,Pune
D300492,U103548,Mac,Android 11,Delhi
D300493,U103683,Windows PC,iOS 13,Hyderabad
D300494,U100073,iPhone,Android 12,Mumbai
D300495,U102438,iPhone,iOS 12,Pune
D300496,U104804,Android Phone,iOS 13,Chennai
D300497,U104501,Android Phone,MacOS 12,Mumbai
D300498,U101154,Windows PC,Android 9,Jaipur
D300499,U102431,Android Phone,iOS 12,Jaipur
D300500,U104319,Android Phone,MacOS 10.15,Mumbai
D300501,U104651,iPhone,Android 9,Bangalore
D300502,U101655,iPhone,iOS 14,Delhi
D300503,U104014,iPhone,Android 10,Pune
D300504,U104173,Android Phone,iOS 14,Jaipur
D300505,U100751,Mac,Windows 10,Bangalore
D300506,U100159,Android Phone,iOS 15,Kolkata
D300507,U100234,Tablet,iOS 14,Ahmedabad
D300508,U100726,Android Phone,Windows 10,Kolkata
D300509,U103704,Mac,iOS 14,Ahmedabad
D300510,U101947,Mac,iOS 15,Ahmedabad
D300511,U103429,Android Phone,Android 9,Ahmedabad
D300512,U100449,Windows PC,Android 9,Ahmedabad
D300513,U103010,Android Phone,Android 10,Kolkata
D300514,U103725,Android Phone,iOS 14,Chennai
D300515,U104881,Android Phone,iOS 12,Pune
D300516,U101596,iPhone,iOS 12,Mumbai
D300517,U102727,Android Phone,iOS 13,Hyderabad
D300518,U102415,iPhone,MacOS 12,Delhi
D300519,U101739,Tablet,iOS 12,Ahmedabad
D300520,U103198,Windows PC,iOS 13,Pune
D300521,U102824,Android Phone,iOS 14,Kolkata
D300522,U104164,iPhone,Windows 11,Chennai
D300523,U100142,Android Phone,Windows 10,Hyderabad
D300524,U101109,Android Phone,MacOS 12,Pune
D300525,U102896,Mac,iOS 15,Pune
D300526,U102868,Tablet,MacOS 12,Lucknow
D300527,U104512,Android Phone,iOS 15,Mumbai
D300528,U103374,Android Phone,iOS 14,Delhi
D300529,U100021,Android Phone,iOS 14,Pune
D300530,U102445,Android Phone,iOS 13,Mumbai
D300531,U104226,Android Phone,Android 11,Mumbai
D300532,U104365,Android Phone,iOS 12,Bangalore
D300533,U104009,Android Phone,iOS 15,Ahmedabad
D300534,U102387,Android Phone,iOS 15,Delhi
D300535,U100530,Windows PC,Android 10,Chennai
D300536,U101066,iPhone,Windows 11,Mumbai
D300537,U104234,iPhone,Windows 10,Jaipur
D300538,U101703,Android Phone,iOS 14,Ahmedabad
D300539,U103817,Windows PC,iOS 13,Delhi
D300540,U100180,Android Phone,iOS 14,Bangalore
D300541,U102455,Mac,iOS 14,Kolkata
D300542,U104751,Android Phone,iOS 13,Kolkata
D300543,U101226,Mac,MacOS 10.15,Mumbai
D300544,U100152,Android Phone,Android 10,Kolkata
D300545,U101440,Windows PC,iOS 12,Jaipur
D300546,U100315,Android Phone,iOS 12,Bangalore
